permission,count,suggested_category,confidence,reason
"ti.permission.FMRX, ti.permission.FMRX_ADMIN",2,Unknown,Low,No matching heuristics
"android.permission.FORCE_STOP_PACKAGES, android.permission.START_ANY_ACTIVITY",2,Unknown,Low,No matching heuristics
"android.permission.SET_SCREEN_COMPATIBILITY, android.permission.START_ANY_ACTIVITY",2,Unknown,Low,No matching heuristics
"android.permission.SET_PROCESS_LIMIT, android.permission.START_ANY_ACTIVITY",2,Unknown,Low,No matching heuristics
android.permission.FILTER_EVENTS,2,Unknown,Low,No matching heuristics
android.permission.FREEZE_SCREEN,2,Unknown,Low,No matching heuristics
android.permission.GET_APP_OPS_STATS,2,Unknown,Low,No matching heuristics
android.permission.ACCESS_NOTIFICATIONS,2,Unknown,Low,No matching heuristics
"android.permission.UPDATE_APP_OPS_STATS, android.permission.VIBRATE",2,Unknown,Low,No matching heuristics
android.permission.TRANSMIT_IR,2,Unknown,Low,No matching heuristics
android.permission.MANAGE_CA_CERTIFICATES,2,Unknown,Low,No matching heuristics
"android.permission.CAPTURE_SECURE_VIDEO_OUTPUT, android.permission.CAPTURE_VIDEO_OUTPUT",2,Unknown,Low,No matching heuristics
android.permission.CAPTURE_AUDIO_OUTPUT,2,Microphone,Medium,Contains audio recording keywords
"android.permission.MODIFY_AUDIO_SETTINGS, android.permission.MODIFY_PHONE_STATE",2,Device Identifiers,High,Contains device identity keywords
"android.permission.BLUETOOTH_ADMIN, android.permission.MODIFY_PHONE_STATE",2,Bluetooth,High,Contains BLUETOOTH keyword
"android.permission.BROADCAST_SCORE_NETWORKS, android.permission.SCORE_NETWORKS",2,Connectivity,Low,Contains network keywords
android.permission.BROADCAST_SCORE_NETWORKS,2,Connectivity,Low,Contains network keywords
"android.permission.ACCESS_COARSE_LOCATION, android.permission.READ_PHONE_STATE, android.permission.READ_PRECISE_PHONE_STATE, android.permission.READ_PRIVILEGED_PHONE_STATE",2,Location,High,Contains LOCATION keyword
"android.permission.MANAGE_APP_TOKENS, android.permission.UPDATE_APP_OPS_STATS, android.permission.UPDATE_DEVICE_STATS",2,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.KILL_BACKGROUND_PROCESSES",2,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.REORDER_TASKS, android.permission.START_ANY_ACTIVITY, android.permission.UPDATE_DEVICE_STATS",2,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.MANAGE_APP_TOKENS, android.permission.SET_SCREEN_COMPATIBILITY, android.permission.UPDATE_DEVICE_STATS",2,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.CHANGE_CONFIGURATION, android.permission.UPDATE_DEVICE_STATS",2,Unknown,Low,No matching heuristics
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_DEVICE_ADMINS, android.permission.MANAGE_USERS",2,Unknown,Low,No matching heuristics
android.permission.CAPTURE_TV_INPUT,2,Unknown,Low,No matching heuristics
"android.permission.ACCESS_WIFI_STATE, android.permission.READ_WIFI_CREDENTIAL",2,Connectivity,Low,Contains network keywords
android.permission.FRAME_STATS,2,Unknown,Low,No matching heuristics
"android.permission.RECEIVE_SMS, android.permission.UPDATE_APP_OPS_STATS",2,SMS,High,Contains SMS keyword
"android.permission.BROADCAST_NETWORK_PRIVILEGED, android.permission.SCORE_NETWORKS",2,Connectivity,Low,Contains network keywords
"android.permission.ACCESS_WIFI_STATE, android.permission.INTERACT_ACROSS_USERS_FULL",2,Connectivity,Low,Contains network keywords
"android.permission.ACCESS_NETWORK_STATE, android.permission.ACCESS_WIFI_STATE, android.permission.CONNECTIVITY_INTERNAL",2,Connectivity,Low,Contains network keywords
android.permission.KILL_UID,2,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.INTERACT_ACROSS_USERS_FULL",2,Unknown,Low,No matching heuristics
"android.permission.CONNECTIVITY_INTERNAL, android.permission.MANAGE_NETWORK_POLICY, android.permission.READ_PRIVILEGED_PHONE_STATE",2,Device Identifiers,High,Contains device identity keywords
"android.permission.MANAGE_NETWORK_POLICY, android.permission.READ_PRIVILEGED_PHONE_STATE",2,Device Identifiers,High,Contains device identity keywords
"android.permission.DELETE_PACKAGES, android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.REVOKE_RUNTIME_PERMISSIONS, android.permission.SET_PREFERRED_APPLICATIONS",2,Unknown,Low,No matching heuristics
"android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.PACKAGE_VERIFICATION_AGENT, android.permission.REVOKE_RUNTIME_PERMISSIONS, android.permission.SET_PREFERRED_APPLICATIONS",2,Unknown,Low,No matching heuristics
"android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.INSTALL_GRANT_RUNTIME_PERMISSIONS, android.permission.INSTALL_PACKAGES, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.REVOKE_RUNTIME_PERMISSIONS, android.permission.SET_PREFERRED_APPLICATIONS",2,Unknown,Low,No matching heuristics
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.REVOKE_RUNTIME_PERMISSIONS",2,Unknown,Low,No matching heuristics
android.permission.DVB_DEVICE,2,Unknown,Low,No matching heuristics
"android.permission.READ_PHONE_STATE, android.permission.READ_PRIVILEGED_PHONE_STATE",2,Device Identifiers,High,Contains device identity keywords
"android.permission.CONNECTIVITY_INTERNAL, android.permission.CONTROL_VPN, android.permission.INTERACT_ACROSS_USERS_FULL",2,Unknown,Low,No matching heuristics
android.permission.GET_PROCESS_STATE_AND_OOM_SCORE,2,Unknown,Low,No matching heuristics
"android.permission.CACHE_CONTENT, android.permission.INTERACT_ACROSS_USERS_FULL",2,Unknown,Low,No matching heuristics
"android.permission.GET_ACCOUNTS, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.READ_SYNC_STATS",2,Accounts,High,Contains ACCOUNT keyword
android.permission.TABLET_MODE,2,Unknown,Low,No matching heuristics
"android.permission.DELETE_CACHE_FILES, android.permission.INTERACT_ACROSS_USERS_FULL",2,Unknown,Low,No matching heuristics
android.permission.INTERNAL_SYSTEM_WINDOW,2,Unknown,Low,No matching heuristics
android.permission.REGISTER_WINDOW_MANAGER_LISTENERS,2,Unknown,Low,No matching heuristics
"android.permission.ACCESS_NETWORK_STATE, android.permission.CHANGE_NETWORK_STATE, android.permission.CONNECTIVITY_INTERNAL, android.permission.CONNECTIVITY_USE_RESTRICTED_NETWORKS",2,Connectivity,Low,Contains network keywords
"android.permission.BLUETOOTH, android.permission.WRITE_SECURE_SETTINGS",1,Bluetooth,High,Contains BLUETOOTH keyword
com.android.email.permission.ACCESS_PROVIDER,1,Unknown,Low,No matching heuristics
"android.permission.READ_PROFILE, android.permission.WRITE_PROFILE",1,Unknown,Low,No matching heuristics
"android.permission.ACCESS_CACHE_FILESYSTEM, android.permission.ACCESS_DOWNLOAD_MANAGER, android.permission.ACCESS_DOWNLOAD_MANAGER_ADVANCED, android.permission.DOWNLOAD_CACHE_NON_PURGEABLE, android.permission.DOWNLOAD_WITHOUT_NOTIFICATION, android.permission.INTERNET, android.permission.WRITE_EXTERNAL_STORAGE",1,Storage,Medium,Contains storage related keywords
android.permission.INSTALL_DRM,1,Unknown,Low,No matching heuristics
"android.permission.ACCESS_CACHE_FILESYSTEM, android.permission.READ_EXTERNAL_STORAGE, android.permission.WRITE_EXTERNAL_STORAGE",1,Storage,Medium,Contains storage related keywords
android.permission.SET_TIME,1,Unknown,Low,No matching heuristics
android.permission.SET_TIME_ZONE,1,Unknown,Low,No matching heuristics
android.permission.READ_LOGS,1,Unknown,Low,No matching heuristics
android.permission.INSTALL_LOCATION_PROVIDER,1,Location,High,Contains LOCATION keyword
"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION, android.permission.ACCESS_LOCATION_EXTRA_COMMANDS",1,Location,High,Contains LOCATION keyword
android.permission.ASEC_DESTROY,1,Unknown,Low,No matching heuristics
android.permission.ASEC_RENAME,1,Unknown,Low,No matching heuristics
android.permission.INTERNET,1,Connectivity,Low,Contains network keywords
"android.permission.DEVICE_POWER, android.permission.WAKE_LOCK",1,Unknown,Low,No matching heuristics
"android.permission.ACCESS_COARSE_LOCATION, android.permission.READ_PHONE_STATE",1,Location,High,Contains LOCATION keyword
"android.permission.BACKUP, android.permission.BROADCAST_STICKY, android.permission.START_ANY_ACTIVITY",1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.FORCE_STOP_PACKAGES, android.permission.START_ANY_ACTIVITY",1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.KILL_BACKGROUND_PROCESSES, android.permission.START_ANY_ACTIVITY",1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.REORDER_TASKS, android.permission.START_ANY_ACTIVITY",1,Unknown,Low,No matching heuristics
"android.permission.ACCESS_CONTENT_PROVIDERS_EXTERNALLY, android.permission.BROADCAST_STICKY, android.permission.START_ANY_ACTIVITY",1,Unknown,Low,No matching heuristics
android.permission.SET_ALWAYS_FINISH,1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.SHUTDOWN, android.permission.START_ANY_ACTIVITY",1,Unknown,Low,No matching heuristics
android.permission.SIGNAL_PERSISTENT_PROCESSES,1,Unknown,Low,No matching heuristics
"android.permission.BROADCAST_STICKY, android.permission.START_ANY_ACTIVITY, android.permission.STOP_APP_SWITCHES",1,Unknown,Low,No matching heuristics
android.permission.FORCE_BACK,1,Unknown,Low,No matching heuristics
android.permission.SET_POINTER_SPEED,1,Unknown,Low,No matching heuristics
"android.permission.MANAGE_NETWORK_POLICY, android.permission.READ_PHONE_STATE",1,Device Identifiers,High,Contains device identity keywords
