package,class,method,permissions,categories
com.android.bluetooth.a2dp,A2dpSinkService$BluetoothA2dpSinkBinder,getDevicesMatchingConnectionStates,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.a2dpsink,A2dpSinkService$BluetoothA2dpSinkBinder,connect,android.permission.BLUETOOTH_ADMIN,Unknown
com.android.bluetooth.a2dpsink,A2dpSinkService$BluetoothA2dpSinkBinder,disconnect,android.permission.BLUETOOTH_ADMIN,Unknown
com.android.bluetooth.a2dpsink,A2dpSinkService$BluetoothA2dpSinkBinder,getAudioConfig,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.a2dpsink,A2dpSinkService$BluetoothA2dpSinkBinder,getConnectedDevices,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.a2dpsink,A2dpSinkService$BluetoothA2dpSinkBinder,getConnectionState,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.a2dpsink,A2dpSinkService$BluetoothA2dpSinkBinder,getDevicesMatchingConnectionStates,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.a2dpsink,A2dpSinkService$BluetoothA2dpSinkBinder,getPriority,android.permission.BLUETOOTH_ADMIN,Unknown
com.android.bluetooth.a2dpsink,A2dpSinkService$BluetoothA2dpSinkBinder,isA2dpPlaying,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.a2dpsink,A2dpSinkService$BluetoothA2dpSinkBinder,setPriority,android.permission.BLUETOOTH_ADMIN,Unknown
com.android.bluetooth.avrcp,AvrcpControllerService$BluetoothAvrcpControllerBinder,getConnectedDevices,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.avrcp,AvrcpControllerService$BluetoothAvrcpControllerBinder,getConnectionState,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.avrcp,AvrcpControllerService$BluetoothAvrcpControllerBinder,getDevicesMatchingConnectionStates,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.avrcp,AvrcpControllerService$BluetoothAvrcpControllerBinder,getMetadata,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.avrcp,AvrcpControllerService$BluetoothAvrcpControllerBinder,getPlaybackState,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.avrcp,AvrcpControllerService$BluetoothAvrcpControllerBinder,getPlayerSettings,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.avrcp,AvrcpControllerService$BluetoothAvrcpControllerBinder,sendGroupNavigationCmd,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.avrcp,AvrcpControllerService$BluetoothAvrcpControllerBinder,sendPassThroughCmd,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.avrcp,AvrcpControllerService$BluetoothAvrcpControllerBinder,setPlayerApplicationSetting,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,cancelBondProcess,android.permission.BLUETOOTH_ADMIN,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,cancelDiscovery,android.permission.BLUETOOTH_ADMIN,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,configHciSnoopLog,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,connectSocket,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,createBond,"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN, android.permission.BLUETOOTH_PRIVILEGED, android.permission.BLUETOOTH_ADMIN, android.permission.BLUETOOTH_ADMIN, android.permission.BLUETOOTH_PRIVILEGED",Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,createBondOutOfBand,"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN, android.permission.BLUETOOTH_PRIVILEGED, android.permission.BLUETOOTH_ADMIN, android.permission.BLUETOOTH_PRIVILEGED",Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,createSocketChannel,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,disable,android.permission.BLUETOOTH_ADMIN,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,enable,android.permission.BLUETOOTH_ADMIN,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,enableNoAutoConnect,android.permission.BLUETOOTH_ADMIN,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,factoryReset,android.permission.BLUETOOTH_ADMIN,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,fetchRemoteMasInstances,android.permission.RECEIVE_BLUETOOTH_MAP,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,fetchRemoteUuids,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,getActivityEnergyInfoFromController,android.permission.BLUETOOTH_PRIVILEGED,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,getAdapterConnectionState,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,getAddress,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,getBondState,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,getBondedDevices,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,getConnectionState,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,getDiscoverableTimeout,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,getMessageAccessPermission,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,getName,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,getPhonebookAccessPermission,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,getProfileConnectionState,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,getRemoteAlias,android.permission.BLUETOOTH,Unknown
com.android.bluetooth.btservice,AdapterService$AdapterServiceBinder,getRemoteClass,android.permission.BLUETOOTH,Unknown
