package,class,method,permissions,categories
android.provider,ContactsContract$PhoneLookup,ENTERPRISE_CONTENT_FILTER_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$Profile,CONTENT_RAW_CONTACTS_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$Profile,CONTENT_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$Profile,CONTENT_VCARD_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$ProfileSyncState,CONTENT_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$ProviderStatus,CONTENT_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$RawContacts,CONTENT_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$RawContactsEntity,CONTENT_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$RawContactsEntity,PROFILE_CONTENT_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$Settings,CONTENT_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$StatusUpdates,CONTENT_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$StatusUpdates,PROFILE_CONTENT_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,ContactsContract$SyncState,CONTENT_URI,"android.permission.READ_CONTACTS, android.permission.WRITE_CONTACTS",Contacts
android.provider,MediaStore,ACTION_IMAGE_CAPTURE,android.permission.CAMERA,Unknown
android.provider,MediaStore,ACTION_VIDEO_CAPTURE,android.permission.CAMERA,Unknown
android.provider,Telephony$Carriers,CONTENT_URI,android.permission.READ_SMS,Unknown
android.provider,Telephony$Mms,CONTENT_URI,android.permission.READ_SMS,Unknown
android.provider,Telephony$Mms,REPORT_REQUEST_URI,android.permission.READ_SMS,Unknown
android.provider,Telephony$Mms,REPORT_STATUS_URI,android.permission.READ_SMS,Unknown
android.provider,Telephony$Mms$Draft,CONTENT_URI,android.permission.READ_SMS,Unknown
android.provider,Telephony$Mms$Inbox,CONTENT_URI,android.permission.READ_SMS,Unknown
android.provider,Telephony$Mms$Outbox,CONTENT_URI,android.permission.READ_SMS,Unknown
android.provider,Telephony$Mms$Rate,CONTENT_URI,android.permission.READ_SMS,Unknown
android.provider,Telephony$Mms$Sent,CONTENT_URI,android.permission.READ_SMS,Unknown
android.provider,Telephony$MmsSms,CONTENT_CONVERSATIONS_URI,android.permission.READ_SMS,Unknown
android.provider,Telephony$MmsSms,CONTENT_DRAFT_URI,android.permission.READ_SMS,Unknown
android.provider,Telephony$MmsSms,CONTENT_FILTER_BYPHONE_URI,android.permission.READ_SMS,Unknown
android.provider,Telephony$MmsSms,CONTENT_LOCKED_URI,android.permission.READ_SMS,Unknown
android.provider,Telephony$MmsSms,CONTENT_UNDELIVERED_URI,android.permission.READ_SMS,Unknown
android.provider,Telephony$MmsSms,CONTENT_URI,android.permission.READ_SMS,Unknown
android.provider,Telephony$MmsSms,SEARCH_URI,android.permission.READ_SMS,Unknown
android.provider,Telephony$MmsSms$PendingMessages,CONTENT_URI,android.permission.READ_SMS,Unknown
android.provider,Telephony$Sms,CONTENT_URI,android.permission.READ_SMS,Unknown
android.provider,Telephony$Sms$Conversations,CONTENT_URI,android.permission.READ_SMS,Unknown
android.provider,Telephony$Sms$Draft,CONTENT_URI,android.permission.READ_SMS,Unknown
android.provider,Telephony$Sms$Inbox,CONTENT_URI,android.permission.READ_SMS,Unknown
android.provider,Telephony$Sms$Intents,SMS_RECEIVED_ACTION,android.permission.RECEIVE_SMS,SMS
android.provider,Telephony$Sms$Outbox,CONTENT_URI,android.permission.READ_SMS,Unknown
android.provider,Telephony$Sms$Sent,CONTENT_URI,android.permission.READ_SMS,Unknown
android.provider,Telephony$Threads,CONTENT_URI,android.permission.READ_SMS,Unknown
android.provider,Telephony$Threads,OBSOLETE_THREADS_URI,android.permission.READ_SMS,Unknown
android.provider,VoicemailContract$Status,CONTENT_URI,com.android.voicemail.permission.ADD_VOICEMAIL,Unknown
android.provider,VoicemailContract$Voicemails,CONTENT_URI,com.android.voicemail.permission.ADD_VOICEMAIL,Unknown
