record_id,category,subcategory,framework,package_name,class_name,method_name,api_name,api_type,permission,sources,source_versions,supported_android_versions,import_timestamp,min_android_api,max_android_api,confidence,documentation_url,deprecated,notes
,Unknown,,Android Framework,android.provider,Telephony$MmsSms,CONTENT_UNDELIVERED_URI,CONTENT_UNDELIVERED_URI,field,android.permission.READ_SMS,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Unknown,,Android Framework,android.provider,Telephony$MmsSms,CONTENT_URI,CONTENT_URI,field,android.permission.READ_SMS,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Unknown,,Android Framework,android.provider,Telephony$MmsSms,SEARCH_URI,SEARCH_URI,field,android.permission.READ_SMS,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Unknown,,Android Framework,android.provider,Telephony$MmsSms$PendingMessages,CONTENT_URI,CONTENT_URI,field,android.permission.READ_SMS,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Unknown,,Android Framework,android.provider,Telephony$Mms,CONTENT_URI,CONTENT_URI,field,android.permission.READ_SMS,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Unknown,,Android Framework,android.provider,Telephony$Mms,REPORT_REQUEST_URI,REPORT_REQUEST_URI,field,android.permission.READ_SMS,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Unknown,,Android Framework,android.provider,Telephony$Mms,REPORT_STATUS_URI,REPORT_STATUS_URI,field,android.permission.READ_SMS,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Unknown,,Android Framework,android.provider,Telephony$Mms$Rate,CONTENT_URI,CONTENT_URI,field,android.permission.READ_SMS,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Unknown,,Android Framework,android.provider,Telephony$Mms$Outbox,CONTENT_URI,CONTENT_URI,field,android.permission.READ_SMS,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
,Unknown,,Android Framework,android.provider,Telephony$Mms$Draft,CONTENT_URI,CONTENT_URI,field,android.permission.READ_SMS,"[""PScout""]","[""Manual""]",[],2026-07-07T13:53:25.680849+00:00,,,high,,False,
