permission,android_permission_group,privacy_category,source
"android.permission.MANAGE_NETWORK_POLICY, android.permission.READ_PRIVILEGED_PHONE_STATE",,,
"android.permission.DELETE_PACKAGES, android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.REVOKE_RUNTIME_PERMISSIONS, android.permission.SET_PREFERRED_APPLICATIONS",,,
"android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.PACKAGE_VERIFICATION_AGENT, android.permission.REVOKE_RUNTIME_PERMISSIONS, android.permission.SET_PREFERRED_APPLICATIONS",,,
"android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.INSTALL_GRANT_RUNTIME_PERMISSIONS, android.permission.INSTALL_PACKAGES, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.REVOKE_RUNTIME_PERMISSIONS, android.permission.SET_PREFERRED_APPLICATIONS",,,
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.REVOKE_RUNTIME_PERMISSIONS",,,
android.permission.DVB_DEVICE,,,
"android.permission.READ_PHONE_STATE, android.permission.READ_PRIVILEGED_PHONE_STATE",,,
"android.permission.CONNECTIVITY_INTERNAL, android.permission.CONTROL_VPN, android.permission.INTERACT_ACROSS_USERS_FULL",,,
android.permission.GET_PROCESS_STATE_AND_OOM_SCORE,,,
"android.permission.CACHE_CONTENT, android.permission.INTERACT_ACROSS_USERS_FULL",,,
"android.permission.GET_ACCOUNTS, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.READ_SYNC_STATS",,,
android.permission.TABLET_MODE,,,
"android.permission.DELETE_CACHE_FILES, android.permission.INTERACT_ACROSS_USERS_FULL",,,
android.permission.INTERNAL_SYSTEM_WINDOW,,,
android.permission.REGISTER_WINDOW_MANAGER_LISTENERS,,,
"android.permission.ACCESS_NETWORK_STATE, android.permission.CHANGE_NETWORK_STATE, android.permission.CONNECTIVITY_INTERNAL, android.permission.CONNECTIVITY_USE_RESTRICTED_NETWORKS",,,
