permission,count
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_DEVICE_ADMINS, android.permission.MANAGE_PROFILE_AND_DEVICE_OWNERS",1
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.QUERY_DO_NOT_ASK_CREDENTIALS_ON_BOOT",1
android.permission.NOTIFY_PENDING_SYSTEM_UPDATE,1
android.permission.CONFIGURE_DISPLAY_COLOR_TRANSFORM,1
"android.permission.MANAGE_FINGERPRINT, android.permission.USE_FINGERPRINT",1
android.permission.RESET_FINGERPRINT_LOCKOUT,1
android.permission.TABLET_MODE_LISTENER,1
android.permission.OBSERVE_GRANT_REVOKE_PERMISSIONS,1
"android.permission.GET_PACKAGE_SIZE, android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.REVOKE_RUNTIME_PERMISSIONS, android.permission.SET_PREFERRED_APPLICATIONS",1
"android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.INTERACT_ACROSS_USERS_FULL",1
"android.permission.GRANT_RUNTIME_PERMISSIONS, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MOVE_PACKAGE, android.permission.REVOKE_RUNTIME_PERMISSIONS, android.permission.SET_PREFERRED_APPLICATIONS",1
android.permission.GRANT_RUNTIME_PERMISSIONS,1
android.permission.INTENT_FILTER_VERIFICATION_AGENT,1
"android.permission.ACCESS_COARSE_LOCATION, android.permission.ACCESS_FINE_LOCATION, android.permission.BLUETOOTH_ADMIN, android.permission.BLUETOOTH_PRIVILEGED, android.permission.PEERS_MAC_ADDRESS, android.permission.UPDATE_DEVICE_STATS",1
"android.permission.BLUETOOTH, android.permission.BLUETOOTH_ADMIN, android.permission.TETHER_PRIVILEGED",1
android.car.permission.CAR_RADIO,1
"android.car.permission.CAR_CAMERA, android.car.permission.CAR_HVAC, android.car.permission.CAR_MOCK_VEHICLE_HAL, android.car.permission.CAR_NAVIGATION_MANAGER, android.car.permission.CAR_PROJECTION, android.car.permission.CAR_RADIO",1
android.car.permission.CONTROL_APP_BLOCKING,1
"android.permission.INTERACT_ACROSS_USERS, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_APP_OPS_RESTRICTIONS",1
"android.permission.ACCESS_NETWORK_STATE, android.permission.CONNECTIVITY_INTERNAL, android.permission.CONTROL_VPN, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.TETHER_PRIVILEGED",1
android.permission.TETHER_PRIVILEGED,1
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.READ_EXTERNAL_STORAGE",1
"android.permission.CONFIRM_FULL_BACKUP, android.permission.START_ANY_ACTIVITY, android.permission.START_TASKS_FROM_RECENTS",1
android.permission.CLEAR_APP_GRANTED_URI_PERMISSIONS,1
android.permission.GET_APP_GRANTED_URI_PERMISSIONS,1
android.permission.GET_INTENT_SENDER_INTENT,1
"android.permission.BROADCAST_STICKY, android.permission.READ_FRAME_BUFFER",1
"android.permission.BROADCAST_STICKY, android.permission.REORDER_TASKS",1
"android.permission.SET_DEBUG_APP, android.permission.START_ANY_ACTIVITY, android.permission.START_TASKS_FROM_RECENTS",1
"android.permission.BROADCAST_STICKY, android.permission.REMOVE_TASKS",1
"android.permission.BROADCAST_STICKY, android.permission.SET_ACTIVITY_WATCHER",1
"android.permission.BROADCAST_STICKY, android.permission.START_TASKS_FROM_RECENTS",1
"android.permission.BROADCAST_STICKY, android.permission.STOP_APP_SWITCHES",1
"android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.MANAGE_DEVICE_ADMINS, android.permission.MANAGE_PROFILE_AND_DEVICE_OWNERS, android.permission.MANAGE_USERS",1
android.permission.MANAGE_DEVICE_ADMINS,1
"android.permission.CONNECTIVITY_INTERNAL, android.permission.UPDATE_DEVICE_STATS",1
"android.permission.PACKAGE_USAGE_STATS, android.permission.READ_NETWORK_USAGE_HISTORY",1
android.permission.RESET_SHORTCUT_MANAGER_THROTTLING,1
android.permission.BIND_CARRIER_SERVICES,1
android.permission.CHANGE_APP_IDLE_STATE,1
"android.permission.CHANGE_WIFI_STATE, android.permission.CONNECTIVITY_INTERNAL",1
"android.permission.ACCESS_WIFI_STATE, android.permission.INTERACT_ACROSS_USERS_FULL, android.permission.PEERS_MAC_ADDRESS, android.permission.SCORE_NETWORKS",1
"android.permission.CHANGE_WIFI_STATE, android.permission.TETHER_PRIVILEGED",1
"android.permission.ACCESS_NETWORK_STATE, android.permission.ACCESS_WIFI_STATE, android.permission.CHANGE_NETWORK_STATE, android.permission.CONNECTIVITY_INTERNAL",1
"android.permission.BROADCAST_STICKY, android.permission.READ_EXTERNAL_STORAGE, android.permission.START_ANY_ACTIVITY, android.permission.START_TASKS_FROM_RECENTS",1
android.permission.CONFIGURE_DISPLAY_COLOR_MODE,1
"android.permission.CONNECTIVITY_INTERNAL, android.permission.RECEIVE_BOOT_COMPLETED",1
