country_code,country_name,category_code,category_name,rank,appId,title,developer,publisherCountry,installs,score,appUrl
in,India,HEALTH_AND_FITNESS,Health & Fitness,23,com.blood.sugar.diary.monitor,Blood Sugar & Diabetes Tracker,Agratas,India,"500,000+",3.1643836,https://play.google.com/store/apps/details?id=com.blood.sugar.diary.monitor
in,India,HEALTH_AND_FITNESS,Health & Fitness,24,org.iggymedia.periodtracker,Flo Period & Pregnancy Tracker,Flo Health Inc.,United States,"100,000,000+",4.765556,https://play.google.com/store/apps/details?id=org.iggymedia.periodtracker
in,India,HEALTH_AND_FITNESS,Health & Fitness,25,com.star.customer_app,Star Health,Star Health And Allied Insurance Company Limited,India,"5,000,000+",4.6127496,https://play.google.com/store/apps/details?id=com.star.customer_app
in,India,HEALTH_AND_FITNESS,Health & Fitness,26,bloodsugar.bloodsugarapp.diabetes.diabetesapp,Blood Sugar - Diabetes App,QR Code Scanner.,Singapore,"10,000,000+",4.398305,https://play.google.com/store/apps/details?id=bloodsugar.bloodsugarapp.diabetes.diabetesapp
in,India,HEALTH_AND_FITNESS,Health & Fitness,27,com.myfitnesspal.android,MyFitnessPal: Calorie Counter,"MyFitnessPal, Inc.",United States,"100,000,000+",4.5285463,https://play.google.com/store/apps/details?id=com.myfitnesspal.android
in,India,HEALTH_AND_FITNESS,Health & Fitness,28,com.mosaicwellness.manmatters,"Man Matters: Hair, Beard, Skin",Mosaic Wellness,India,"5,000,000+",4.521005,https://play.google.com/store/apps/details?id=com.mosaicwellness.manmatters
in,India,HEALTH_AND_FITNESS,Health & Fitness,29,stepcounter.steptracker.pedometer.calorie,Pedometer App - Step Counter,AceTools Team,Singapore,"5,000,000+",4.8388953,https://play.google.com/store/apps/details?id=stepcounter.steptracker.pedometer.calorie
in,India,HEALTH_AND_FITNESS,Health & Fitness,30,com.bastionex.fitlife,FitLife: AI Fitness Coach,Bastionex,United Arab Emirates,"50,000+",4.496815,https://play.google.com/store/apps/details?id=com.bastionex.fitlife
in,India,HEALTH_AND_FITNESS,Health & Fitness,31,fit.cure.android,cult.fit Gym Workout & Fitness,Curefit Healthcare Pvt. Ltd.,India,"10,000,000+",4.659997,https://play.google.com/store/apps/details?id=fit.cure.android
in,India,HEALTH_AND_FITNESS,Health & Fitness,32,homeworkoutapp.homeworkout.fitness.workout.loseweight,Home Workout App: Fitness,EZ Health,Hong Kong,"5,000,000+",4.7790575,https://play.google.com/store/apps/details?id=homeworkoutapp.homeworkout.fitness.workout.loseweight
